CO2 emission estimates,Year,Series,Value
Haiti,2016,Emissions (thousand metric tons of carbon dioxide),3250.079
Haiti,2017,Emissions (thousand metric tons of carbon dioxide),3293.125
Haiti,1975,Emissions per capita (metric tons of carbon dioxide),0.08
Haiti,1985,Emissions per capita (metric tons of carbon dioxide),0.125
Haiti,1995,Emissions per capita (metric tons of carbon dioxide),0.115
Haiti,2005,Emissions per capita (metric tons of carbon dioxide),0.214
Haiti,2010,Emissions per capita (metric tons of carbon dioxide),0.21
Haiti,2015,Emissions per capita (metric tons of carbon dioxide),0.3
Haiti,2016,Emissions per capita (metric tons of carbon dioxide),0.3
Haiti,2017,Emissions per capita (metric tons of carbon dioxide),0.3
Honduras,1975,Emissions (thousand metric tons of carbon dioxide),1327.971
Honduras,1985,Emissions (thousand metric tons of carbon dioxide),1671.582
Honduras,1995,Emissions (thousand metric tons of carbon dioxide),3575.392
Honduras,2005,Emissions (thousand metric tons of carbon dioxide),7192.737
Honduras,2010,Emissions (thousand metric tons of carbon dioxide),7535.444
Honduras,2015,Emissions (thousand metric tons of carbon dioxide),9558.552
Honduras,2016,Emissions (thousand metric tons of carbon dioxide),9132.171
Honduras,2017,Emissions (thousand metric tons of carbon dioxide),9426.74
Honduras,1975,Emissions per capita (metric tons of carbon dioxide),0.421
Honduras,1985,Emissions per capita (metric tons of carbon dioxide),0.39
Honduras,1995,Emissions per capita (metric tons of carbon dioxide),0.626
Honduras,2005,Emissions per capita (metric tons of carbon dioxide),0.976
Honduras,2010,Emissions per capita (metric tons of carbon dioxide),0.92
Honduras,2015,Emissions per capita (metric tons of carbon dioxide),1.067
Honduras,2016,Emissions per capita (metric tons of carbon dioxide),1.002
Honduras,2017,Emissions per capita (metric tons of carbon dioxide),1.017
Hungary,1975,Emissions (thousand metric tons of carbon dioxide),70172.709
Hungary,1985,Emissions (thousand metric tons of carbon dioxide),79755.472
Hungary,1995,Emissions (thousand metric tons of carbon dioxide),56245.319
Hungary,2005,Emissions (thousand metric tons of carbon dioxide),54722.182
Hungary,2010,Emissions (thousand metric tons of carbon dioxide),47145.132
Hungary,2015,Emissions (thousand metric tons of carbon dioxide),42708.351
Hungary,2016,Emissions (thousand metric tons of carbon dioxide),43777.954
Hungary,2017,Emissions (thousand metric tons of carbon dioxide),45783.636
Hungary,1975,Emissions per capita (metric tons of carbon dioxide),6.663
Hungary,1985,Emissions per capita (metric tons of carbon dioxide),7.539
Hungary,1995,Emissions per capita (metric tons of carbon dioxide),5.445
Hungary,2005,Emissions per capita (metric tons of carbon dioxide),5.425
Hungary,2010,Emissions per capita (metric tons of carbon dioxide),4.715
Hungary,2015,Emissions per capita (metric tons of carbon dioxide),4.339
Hungary,2016,Emissions per capita (metric tons of carbon dioxide),4.461
Hungary,2017,Emissions per capita (metric tons of carbon dioxide),4.678
Iceland,1975,Emissions (thousand metric tons of carbon dioxide),1614.157
Iceland,1985,Emissions (thousand metric tons of carbon dioxide),1627.919
Iceland,1995,Emissions (thousand metric tons of carbon dioxide),1964.286
Iceland,2005,Emissions (thousand metric tons of carbon dioxide),2235.38
Iceland,2010,Emissions (thousand metric tons of carbon dioxide),1949.182
Iceland,2015,Emissions (thousand metric tons of carbon dioxide),2057.458
Iceland,2016,Emissions (thousand metric tons of carbon dioxide),2064.863
Iceland,2017,Emissions (thousand metric tons of carbon dioxide),2173.307
Iceland,1975,Emissions per capita (metric tons of carbon dioxide),7.404
Iceland,1985,Emissions per capita (metric tons of carbon dioxide),6.755
Iceland,1995,Emissions per capita (metric tons of carbon dioxide),7.357
Iceland,2005,Emissions per capita (metric tons of carbon dioxide),7.552
Iceland,2010,Emissions per capita (metric tons of carbon dioxide),6.13
Iceland,2015,Emissions per capita (metric tons of carbon dioxide),6.216
Iceland,2016,Emissions per capita (metric tons of carbon dioxide),6.164
Iceland,2017,Emissions per capita (metric tons of carbon dioxide),6.336
India,1975,Emissions (thousand metric tons of carbon dioxide),217193.593
India,1985,Emissions (thousand metric tons of carbon dioxide),376237.076
India,1995,Emissions (thousand metric tons of carbon dioxide),703332.012
India,2005,Emissions (thousand metric tons of carbon dioxide),1073700.993
India,2010,Emissions (thousand metric tons of carbon dioxide),1583431.201
India,2015,Emissions (thousand metric tons of carbon dioxide),2026704.698
India,2016,Emissions (thousand metric tons of carbon dioxide),2057682.254
India,2017,Emissions (thousand metric tons of carbon dioxide),2161567.072
India,1975,Emissions per capita (metric tons of carbon dioxide),0.35
India,1985,Emissions per capita (metric tons of carbon dioxide),0.481
India,1995,Emissions per capita (metric tons of carbon dioxide),0.732
India,2005,Emissions per capita (metric tons of carbon dioxide),0.938
India,2010,Emissions per capita (metric tons of carbon dioxide),1.286
India,2015,Emissions per capita (metric tons of carbon dioxide),1.548
India,2016,Emissions per capita (metric tons of carbon dioxide),1.554
India,2017,Emissions per capita (metric tons of carbon dioxide),1.614
Indonesia,1975,Emissions (thousand metric tons of carbon dioxide),37839.826
Indonesia,1985,Emissions (thousand metric tons of carbon dioxide),84233.249
Indonesia,1995,Emissions (thousand metric tons of carbon dioxide),204206.565
Indonesia,2005,Emissions (thousand metric tons of carbon dioxide),317824.312
Indonesia,2010,Emissions (thousand metric tons of carbon dioxide),357646.151
Indonesia,2015,Emissions (thousand metric tons of carbon dioxide),459139.082
Indonesia,2016,Emissions (thousand metric tons of carbon dioxide),454267.119
Indonesia,2017,Emissions (thousand metric tons of carbon dioxide),496406.275
Indonesia,1975,Emissions per capita (metric tons of carbon dioxide),0.289
Indonesia,1985,Emissions per capita (metric tons of carbon dioxide),0.51
Indonesia,1995,Emissions per capita (metric tons of carbon dioxide),1.037
Indonesia,2005,Emissions per capita (metric tons of carbon dioxide),1.402
Indonesia,2010,Emissions per capita (metric tons of carbon dioxide),1.475
Indonesia,2015,Emissions per capita (metric tons of carbon dioxide),1.778
Indonesia,2016,Emissions per capita (metric tons of carbon dioxide),1.74
Indonesia,2017,Emissions per capita (metric tons of carbon dioxide),1.88
Iran (Islamic Republic of),1975,Emissions (thousand metric tons of carbon dioxide),68032.544
Iran (Islamic Republic of),1985,Emissions (thousand metric tons of carbon dioxide),145047.521
Iran (Islamic Republic of),1995,Emissions (thousand metric tons of carbon dioxide),244569.989
Iran (Islamic Republic of),2005,Emissions (thousand metric tons of carbon dioxide),417780.642
Iran (Islamic Republic of),2010,Emissions (thousand metric tons of carbon dioxide),498607.87
Iran (Islamic Republic of),2015,Emissions (thousand metric tons of carbon dioxide),553300.897
Iran (Islamic Republic of),2016,Emissions (thousand metric tons of carbon dioxide),554410.488
Iran (Islamic Republic of),2017,Emissions (thousand metric tons of carbon dioxide),567123.294
Iran (Islamic Republic of),1975,Emissions per capita (metric tons of carbon dioxide),2.079
Iran (Islamic Republic of),1985,Emissions per capita (metric tons of carbon dioxide),3.064
Iran (Islamic Republic of),1995,Emissions per capita (metric tons of carbon dioxide),4.037
Iran (Islamic Republic of),2005,Emissions per capita (metric tons of carbon dioxide),5.933
Iran (Islamic Republic of),2010,Emissions per capita (metric tons of carbon dioxide),6.687
Iran (Islamic Republic of),2015,Emissions per capita (metric tons of carbon dioxide),6.972
Iran (Islamic Republic of),2016,Emissions per capita (metric tons of carbon dioxide),6.906
Iran (Islamic Republic of),2017,Emissions per capita (metric tons of carbon dioxide),6.987
Iraq,1975,Emissions (thousand metric tons of carbon dioxide),15538.682
Iraq,1985,Emissions (thousand metric tons of carbon dioxide),37974.35
Iraq,1995,Emissions (thousand metric tons of carbon dioxide),95144.89
Iraq,2005,Emissions (thousand metric tons of carbon dioxide),73175.677
Iraq,2010,Emissions (thousand metric tons of carbon dioxide),103576.749
Iraq,2015,Emissions (thousand metric tons of carbon dioxide),130762.392
Iraq,2016,Emissions (thousand metric tons of carbon dioxide),140337.13
Iraq,2017,Emissions (thousand metric tons of carbon dioxide),139877.659
Iraq,1975,Emissions per capita (metric tons of carbon dioxide),1.33
Iraq,1985,Emissions per capita (metric tons of carbon dioxide),2.438
Iraq,1995,Emissions per capita (metric tons of carbon dioxide),4.708
Iraq,2005,Emissions per capita (metric tons of carbon dioxide),2.709
Iraq,2010,Emissions per capita (metric tons of carbon dioxide),3.367
Iraq,2015,Emissions per capita (metric tons of carbon dioxide),3.621
Iraq,2016,Emissions per capita (metric tons of carbon dioxide),3.772
Iraq,2017,Emissions per capita (metric tons of carbon dioxide),3.655
Ireland,1975,Emissions (thousand metric tons of carbon dioxide),21148.87
Ireland,1985,Emissions (thousand metric tons of carbon dioxide),26453.225
Ireland,1995,Emissions (thousand metric tons of carbon dioxide),32636.823
Ireland,2005,Emissions (thousand metric tons of carbon dioxide),44420.119
Ireland,2010,Emissions (thousand metric tons of carbon dioxide),39516.725
Ireland,2015,Emissions (thousand metric tons of carbon dioxide),35342.128
Ireland,2016,Emissions (thousand metric tons of carbon dioxide),36863.114
Ireland,2017,Emissions (thousand metric tons of carbon dioxide),35720.302
Ireland,1975,Emissions per capita (metric tons of carbon dioxide),6.657
Ireland,1985,Emissions per capita (metric tons of carbon dioxide),7.471
Ireland,1995,Emissions per capita (metric tons of carbon dioxide),9.063
Ireland,2005,Emissions per capita (metric tons of carbon dioxide),10.678
Ireland,2010,Emissions per capita (metric tons of carbon dioxide),8.666
Ireland,2015,Emissions per capita (metric tons of carbon dioxide),7.526
Ireland,2016,Emissions per capita (metric tons of carbon dioxide),7.762
Ireland,2017,Emissions per capita (metric tons of carbon dioxide),7.439
Israel,1975,Emissions (thousand metric tons of carbon dioxide),16410.171
Israel,1985,Emissions (thousand metric tons of carbon dioxide),24310.593
Israel,1995,Emissions (thousand metric tons of carbon dioxide),44873.881
Israel,2005,Emissions (thousand metric tons of carbon dioxide),58796.711
Israel,2010,Emissions (thousand metric tons of carbon dioxide),68437.949
Israel,2015,Emissions (thousand metric tons of carbon dioxide),63927.754
Israel,2016,Emissions (thousand metric tons of carbon dioxide),63082.005
Israel,2017,Emissions (thousand metric tons of carbon dioxide),63766.189
Israel,1975,Emissions per capita (metric tons of carbon dioxide),4.75
Israel,1985,Emissions per capita (metric tons of carbon dioxide),5.743
Israel,1995,Emissions per capita (metric tons of carbon dioxide),8.091
Israel,2005,Emissions per capita (metric tons of carbon dioxide),8.447
Israel,2010,Emissions per capita (metric tons of carbon dioxide),8.98
Israel,2015,Emissions per capita (metric tons of carbon dioxide),7.631
Israel,2016,Emissions per capita (metric tons of carbon dioxide),7.384
Israel,2017,Emissions per capita (metric tons of carbon dioxide),7.322
Italy,1975,Emissions (thousand metric tons of carbon dioxide),317060.307
Italy,1985,Emissions (thousand metric tons of carbon dioxide),342046.885
Italy,1995,Emissions (thousand metric tons of carbon dioxide),401104.969
Italy,2005,Emissions (thousand metric tons of carbon dioxide),456431.826
Italy,2010,Emissions (thousand metric tons of carbon dioxide),391992.33
Italy,2015,Emissions (thousand metric tons of carbon dioxide),329662.257
Italy,2016,Emissions (thousand metric tons of carbon dioxide),325657.168
Italy,2017,Emissions (thousand metric tons of carbon dioxide),321481.224
Italy,1975,Emissions per capita (metric tons of carbon dioxide),5.719
Italy,1985,Emissions per capita (metric tons of carbon dioxide),6.044
Italy,1995,Emissions per capita (metric tons of carbon dioxide),7.056
Italy,2005,Emissions per capita (metric tons of carbon dioxide),7.844
Italy,2010,Emissions per capita (metric tons of carbon dioxide),6.552
Italy,2015,Emissions per capita (metric tons of carbon dioxide),5.428
Italy,2016,Emissions per capita (metric tons of carbon dioxide),5.371
Italy,2017,Emissions per capita (metric tons of carbon dioxide),5.31
Jamaica,1975,Emissions (thousand metric tons of carbon dioxide),7448.304
Jamaica,1985,Emissions (thousand metric tons of carbon dioxide),4669.488
Jamaica,1995,Emissions (thousand metric tons of carbon dioxide),8417
Jamaica,2005,Emissions (thousand metric tons of carbon dioxide),10281.648
Jamaica,2010,Emissions (thousand metric tons of carbon dioxide),6930.89
Jamaica,2015,Emissions (thousand metric tons of carbon dioxide),6992.686
Jamaica,2016,Emissions (thousand metric tons of carbon dioxide),7524.926
Jamaica,2017,Emissions (thousand metric tons of carbon dioxide),6971.666
Jamaica,1975,Emissions per capita (metric tons of carbon dioxide),3.673
Jamaica,1985,Emissions per capita (metric tons of carbon dioxide),1.996
Jamaica,1995,Emissions per capita (metric tons of carbon dioxide),3.318
Jamaica,2005,Emissions per capita (metric tons of carbon dioxide),3.746
Jamaica,2010,Emissions per capita (metric tons of carbon dioxide),2.46
Jamaica,2015,Emissions per capita (metric tons of carbon dioxide),2.435
Jamaica,2016,Emissions per capita (metric tons of carbon dioxide),2.612
Jamaica,2017,Emissions per capita (metric tons of carbon dioxide),2.412
Japan,1975,Emissions (thousand metric tons of carbon dioxide),849909.997
Japan,1985,Emissions (thousand metric tons of carbon dioxide),866233.818
Japan,1995,Emissions (thousand metric tons of carbon dioxide),1118246.59
Japan,2005,Emissions (thousand metric tons of carbon dioxide),1166814.399
Japan,2010,Emissions (thousand metric tons of carbon dioxide),1127152.038
Japan,2015,Emissions (thousand metric tons of carbon dioxide),1155666.505
Japan,2016,Emissions (thousand metric tons of carbon dioxide),1146887.524
Japan,2017,Emissions (thousand metric tons of carbon dioxide),1132435.4
Japan,1975,Emissions per capita (metric tons of carbon dioxide),7.604
Japan,1985,Emissions per capita (metric tons of carbon dioxide),7.156
Japan,1995,Emissions per capita (metric tons of carbon dioxide),8.915
Japan,2005,Emissions per capita (metric tons of carbon dioxide),9.133
Japan,2010,Emissions per capita (metric tons of carbon dioxide),8.803
Japan,2015,Emissions per capita (metric tons of carbon dioxide),9.092
Japan,2016,Emissions per capita (metric tons of carbon dioxide),9.035
Japan,2017,Emissions per capita (metric tons of carbon dioxide),8.938
Jordan,1975,Emissions (thousand metric tons of carbon dioxide),2151.025
Jordan,1985,Emissions (thousand metric tons of carbon dioxide),7474.582
Jordan,1995,Emissions (thousand metric tons of carbon dioxide),12194.147
Jordan,2005,Emissions (thousand metric tons of carbon dioxide),17922.443
Jordan,2010,Emissions (thousand metric tons of carbon dioxide),18801.144
Jordan,2015,Emissions (thousand metric tons of carbon dioxide),23785.053
Jordan,2016,Emissions (thousand metric tons of carbon dioxide),23834.961
Jordan,2017,Emissions (thousand metric tons of carbon dioxide),25550.14
Jordan,1975,Emissions per capita (metric tons of carbon dioxide),1.043
Jordan,1985,Emissions per capita (metric tons of carbon dioxide),2.581
Jordan,1995,Emissions per capita (metric tons of carbon dioxide),2.667
Jordan,2005,Emissions per capita (metric tons of carbon dioxide),3.137
Jordan,2010,Emissions per capita (metric tons of carbon dioxide),2.618
Jordan,2015,Emissions per capita (metric tons of carbon dioxide),2.597
Jordan,2016,Emissions per capita (metric tons of carbon dioxide),2.521
Jordan,2017,Emissions per capita (metric tons of carbon dioxide),2.633
Kazakhstan,1995,Emissions (thousand metric tons of carbon dioxide),170519.468
Kazakhstan,2005,Emissions (thousand metric tons of carbon dioxide),156902.433
Kazakhstan,2010,Emissions (thousand metric tons of carbon dioxide),221101.402
Kazakhstan,2015,Emissions (thousand metric tons of carbon dioxide),245762.673
Kazakhstan,2016,Emissions (thousand metric tons of carbon dioxide),254927.792
Kazakhstan,2017,Emissions (thousand metric tons of carbon dioxide),255767.646
Kazakhstan,1995,Emissions per capita (metric tons of carbon dioxide),10.781
Kazakhstan,2005,Emissions per capita (metric tons of carbon dioxide),10.359
Kazakhstan,2010,Emissions per capita (metric tons of carbon dioxide),13.546
Kazakhstan,2015,Emissions per capita (metric tons of carbon dioxide),14.009
Kazakhstan,2016,Emissions per capita (metric tons of carbon dioxide),14.327
Kazakhstan,2017,Emissions per capita (metric tons of carbon dioxide),14.179
Kenya,1975,Emissions (thousand metric tons of carbon dioxide),3460.622
Kenya,1985,Emissions (thousand metric tons of carbon dioxide),4592.785
Kenya,1995,Emissions (thousand metric tons of carbon dioxide),5729.446
Kenya,2005,Emissions (thousand metric tons of carbon dioxide),7483.192
Kenya,2010,Emissions (thousand metric tons of carbon dioxide),11209.779
Kenya,2015,Emissions (thousand metric tons of carbon dioxide),14721.841
Kenya,2016,Emissions (thousand metric tons of carbon dioxide),16266.163
Kenya,2017,Emissions (thousand metric tons of carbon dioxide),16264.973
Kenya,1975,Emissions per capita (metric tons of carbon dioxide),0.257
Kenya,1985,Emissions per capita (metric tons of carbon dioxide),0.234
Kenya,1995,Emissions per capita (metric tons of carbon dioxide),0.21
Kenya,2005,Emissions per capita (metric tons of carbon dioxide),0.208
Kenya,2010,Emissions per capita (metric tons of carbon dioxide),0.271
Kenya,2015,Emissions per capita (metric tons of carbon dioxide),0.312
Kenya,2016,Emissions per capita (metric tons of carbon dioxide),0.336
Kenya,2017,Emissions per capita (metric tons of carbon dioxide),0.327
Kosovo,2005,Emissions (thousand metric tons of carbon dioxide),6639.156
Kosovo,2010,Emissions (thousand metric tons of carbon dioxide),8695.947
Kosovo,2015,Emissions (thousand metric tons of carbon dioxide),8605.689
Kosovo,2016,Emissions (thousand metric tons of carbon dioxide),9080.385
Kosovo,2017,Emissions (thousand metric tons of carbon dioxide),8168.55
Kosovo,2005,Emissions per capita (metric tons of carbon dioxide),3.892
Kosovo,2010,Emissions per capita (metric tons of carbon dioxide),4.896
Kosovo,2015,Emissions per capita (metric tons of carbon dioxide),4.776
Kosovo,2016,Emissions per capita (metric tons of carbon dioxide),5
Kosovo,2017,Emissions per capita (metric tons of carbon dioxide),4.461
Kuwait,1975,Emissions (thousand metric tons of carbon dioxide),15107.406
Kuwait,1985,Emissions (thousand metric tons of carbon dioxide),36749.463
Kuwait,1995,Emissions (thousand metric tons of carbon dioxide),32351.708
Kuwait,2005,Emissions (thousand metric tons of carbon dioxide),64750.023
Kuwait,2010,Emissions (thousand metric tons of carbon dioxide),77004.456
Kuwait,2015,Emissions (thousand metric tons of carbon dioxide),91638.915
Kuwait,2016,Emissions (thousand metric tons of carbon dioxide),93178.766
Kuwait,2017,Emissions (thousand metric tons of carbon dioxide),89420.615
Kuwait,1975,Emissions per capita (metric tons of carbon dioxide),14.739
Kuwait,1985,Emissions per capita (metric tons of carbon dioxide),21.133
Kuwait,1995,Emissions per capita (metric tons of carbon dioxide),20.082
Kuwait,2005,Emissions per capita (metric tons of carbon dioxide),28.437
Kuwait,2010,Emissions per capita (metric tons of carbon dioxide),25.685
Kuwait,2015,Emissions per capita (metric tons of carbon dioxide),23.282
Kuwait,2016,Emissions per capita (metric tons of carbon dioxide),22.99
Kuwait,2017,Emissions per capita (metric tons of carbon dioxide),21.615
Kyrgyzstan,1995,Emissions (thousand metric tons of carbon dioxide),4458.54
Kyrgyzstan,2005,Emissions (thousand metric tons of carbon dioxide),4891.9
Kyrgyzstan,2010,Emissions (thousand metric tons of carbon dioxide),6040.358
Kyrgyzstan,2015,Emissions (thousand metric tons of carbon dioxide),9896.806
Kyrgyzstan,2016,Emissions (thousand metric tons of carbon dioxide),9298.993
Kyrgyzstan,2017,Emissions (thousand metric tons of carbon dioxide),8909.263
Kyrgyzstan,1995,Emissions per capita (metric tons of carbon dioxide),0.978
Kyrgyzstan,2005,Emissions per capita (metric tons of carbon dioxide),0.947
Kyrgyzstan,2010,Emissions per capita (metric tons of carbon dioxide),1.109
Kyrgyzstan,2015,Emissions per capita (metric tons of carbon dioxide),1.661
Kyrgyzstan,2016,Emissions per capita (metric tons of carbon dioxide),1.529
Kyrgyzstan,2017,Emissions per capita (metric tons of carbon dioxide),1.437
Latvia,1995,Emissions (thousand metric tons of carbon dioxide),8902.54
Latvia,2005,Emissions (thousand metric tons of carbon dioxide),7580.61
Latvia,2010,Emissions (thousand metric tons of carbon dioxide),8087.541
Latvia,2015,Emissions (thousand metric tons of carbon dioxide),6845.608
Latvia,2016,Emissions (thousand metric tons of carbon dioxide),6799.011
Latvia,2017,Emissions (thousand metric tons of carbon dioxide),6679.644
Latvia,1995,Emissions per capita (metric tons of carbon dioxide),3.583
Latvia,2005,Emissions per capita (metric tons of carbon dioxide),3.386
Latvia,2010,Emissions per capita (metric tons of carbon dioxide),3.857
Latvia,2015,Emissions per capita (metric tons of carbon dioxide),3.463
Latvia,2016,Emissions per capita (metric tons of carbon dioxide),3.471
Latvia,2017,Emissions per capita (metric tons of carbon dioxide),3.441
Lebanon,1975,Emissions (thousand metric tons of carbon dioxide),5709.367
Lebanon,1985,Emissions (thousand metric tons of carbon dioxide),6614.05
Lebanon,1995,Emissions (thousand metric tons of carbon dioxide),12829.853
Lebanon,2005,Emissions (thousand metric tons of carbon dioxide),14523.599
Lebanon,2010,Emissions (thousand metric tons of carbon dioxide),18293.3
Lebanon,2015,Emissions (thousand metric tons of carbon dioxide),24619.15
Lebanon,2016,Emissions (thousand metric tons of carbon dioxide),25460.51
Lebanon,2017,Emissions (thousand metric tons of carbon dioxide),26931.044
Lebanon,1975,Emissions per capita (metric tons of carbon dioxide),2.216
Lebanon,1985,Emissions per capita (metric tons of carbon dioxide),2.471
Lebanon,1995,Emissions per capita (metric tons of carbon dioxide),4.23
Lebanon,2005,Emissions per capita (metric tons of carbon dioxide),3.643
Lebanon,2010,Emissions per capita (metric tons of carbon dioxide),4.218
Lebanon,2015,Emissions per capita (metric tons of carbon dioxide),4.208
Lebanon,2016,Emissions per capita (metric tons of carbon dioxide),4.238
Lebanon,2017,Emissions per capita (metric tons of carbon dioxide),4.428
Libya,1975,Emissions (thousand metric tons of carbon dioxide),8670.6
Libya,1985,Emissions (thousand metric tons of carbon dioxide),21243.693
Libya,1995,Emissions (thousand metric tons of carbon dioxide),32953.725
Libya,2005,Emissions (thousand metric tons of carbon dioxide),43101.459
Libya,2010,Emissions (thousand metric tons of carbon dioxide),48181.967
Libya,2015,Emissions (thousand metric tons of carbon dioxide),42725.711
Libya,2016,Emissions (thousand metric tons of carbon dioxide),41056.051
Libya,2017,Emissions (thousand metric tons of carbon dioxide),41528.35
Libya,1975,Emissions per capita (metric tons of carbon dioxide),3.278
Libya,1985,Emissions per capita (metric tons of carbon dioxide),5.484
Libya,1995,Emissions per capita (metric tons of carbon dioxide),6.659
Libya,2005,Emissions per capita (metric tons of carbon dioxide),7.44
Libya,2010,Emissions per capita (metric tons of carbon dioxide),7.81
Libya,2015,Emissions per capita (metric tons of carbon dioxide),6.853
Libya,2016,Emissions per capita (metric tons of carbon dioxide),6.524
Libya,2017,Emissions per capita (metric tons of carbon dioxide),6.514
Lithuania,1995,Emissions (thousand metric tons of carbon dioxide),13434.207
Lithuania,2005,Emissions (thousand metric tons of carbon dioxide),12443.951
Lithuania,2010,Emissions (thousand metric tons of carbon dioxide),12314.715
Lithuania,2015,Emissions (thousand metric tons of carbon dioxide),10550.273
Lithuania,2016,Emissions (thousand metric tons of carbon dioxide),10750.005
Lithuania,2017,Emissions (thousand metric tons of carbon dioxide),10811.096
Lithuania,1995,Emissions per capita (metric tons of carbon dioxide),3.702
Lithuania,2005,Emissions per capita (metric tons of carbon dioxide),3.745
Lithuania,2010,Emissions per capita (metric tons of carbon dioxide),3.976
Lithuania,2015,Emissions per capita (metric tons of carbon dioxide),3.632
Lithuania,2016,Emissions per capita (metric tons of carbon dioxide),3.748
Lithuania,2017,Emissions per capita (metric tons of carbon dioxide),3.831
Luxembourg,1975,Emissions (thousand metric tons of carbon dioxide),12739.168
Luxembourg,1985,Emissions (thousand metric tons of carbon dioxide),10335.311
Luxembourg,1995,Emissions (thousand metric tons of carbon dioxide),8225.746
Luxembourg,2005,Emissions (thousand metric tons of carbon dioxide),11493.299
Luxembourg,2010,Emissions (thousand metric tons of carbon dioxide),10664.187
Luxembourg,2015,Emissions (thousand metric tons of carbon dioxide),8804.662
Luxembourg,2016,Emissions (thousand metric tons of carbon dioxide),8501.982
Luxembourg,2017,Emissions (thousand metric tons of carbon dioxide),8631.187
Luxembourg,1975,Emissions per capita (metric tons of carbon dioxide),35.485
Luxembourg,1985,Emissions per capita (metric tons of carbon dioxide),28.162
Luxembourg,1995,Emissions per capita (metric tons of carbon dioxide),20.063
Luxembourg,2005,Emissions per capita (metric tons of carbon dioxide),24.664
Luxembourg,2010,Emissions per capita (metric tons of carbon dioxide),20.992
Luxembourg,2015,Emissions per capita (metric tons of carbon dioxide),15.474
Luxembourg,2016,Emissions per capita (metric tons of carbon dioxide),14.558
Luxembourg,2017,Emissions per capita (metric tons of carbon dioxide),14.458
Malaysia,1975,Emissions (thousand metric tons of carbon dioxide),16217.173
Malaysia,1985,Emissions (thousand metric tons of carbon dioxide),32910.606
Malaysia,1995,Emissions (thousand metric tons of carbon dioxide),79589.944
Malaysia,2005,Emissions (thousand metric tons of carbon dioxide),155842.735
Malaysia,2010,Emissions (thousand metric tons of carbon dioxide),189860.901
Malaysia,2015,Emissions (thousand metric tons of carbon dioxide),220437.513
Malaysia,2016,Emissions (thousand metric tons of carbon dioxide),216236.083
Malaysia,2017,Emissions (thousand metric tons of carbon dioxide),211046.967
Malaysia,1975,Emissions per capita (metric tons of carbon dioxide),1.333
Malaysia,1985,Emissions per capita (metric tons of carbon dioxide),2.11
Malaysia,1995,Emissions per capita (metric tons of carbon dioxide),3.883
Malaysia,2005,Emissions per capita (metric tons of carbon dioxide),6.074
Malaysia,2010,Emissions per capita (metric tons of carbon dioxide),6.754
Malaysia,2015,Emissions per capita (metric tons of carbon dioxide),7.175
Malaysia,2016,Emissions per capita (metric tons of carbon dioxide),6.934
Malaysia,2017,Emissions per capita (metric tons of carbon dioxide),6.674
Malta,1975,Emissions (thousand metric tons of carbon dioxide),651.329
Malta,1985,Emissions (thousand metric tons of carbon dioxide),1158.07
Malta,1995,Emissions (thousand metric tons of carbon dioxide),2378.847
Malta,2005,Emissions (thousand metric tons of carbon dioxide),2621.893
Malta,2010,Emissions (thousand metric tons of carbon dioxide),2580.576
Malta,2015,Emissions (thousand metric tons of carbon dioxide),1648.9
Malta,2016,Emissions (thousand metric tons of carbon dioxide),1354.078
Malta,2017,Emissions (thousand metric tons of carbon dioxide),1516.276
Malta,1975,Emissions per capita (metric tons of carbon dioxide),2.143
Malta,1985,Emissions per capita (metric tons of carbon dioxide),3.447
Malta,1995,Emissions per capita (metric tons of carbon dioxide),6.31
Malta,2005,Emissions per capita (metric tons of carbon dioxide),6.49
Malta,2010,Emissions per capita (metric tons of carbon dioxide),6.218
Malta,2015,Emissions per capita (metric tons of carbon dioxide),3.705
Malta,2016,Emissions per capita (metric tons of carbon dioxide),2.976
Malta,2017,Emissions per capita (metric tons of carbon dioxide),3.261
Mauritius,1975,Emissions (thousand metric tons of carbon dioxide),422.4
Mauritius,1985,Emissions (thousand metric tons of carbon dioxide),611.518
Mauritius,1995,Emissions (thousand metric tons of carbon dioxide),1551.459
Mauritius,2005,Emissions (thousand metric tons of carbon dioxide),2961.755
Mauritius,2010,Emissions (thousand metric tons of carbon dioxide),3662.144
Mauritius,2015,Emissions (thousand metric tons of carbon dioxide),3967.535
Mauritius,2016,Emissions (thousand metric tons of carbon dioxide),4042.202
Mauritius,2017,Emissions (thousand metric tons of carbon dioxide),4182.138
Mauritius,1975,Emissions per capita (metric tons of carbon dioxide),0.474
Mauritius,1985,Emissions per capita (metric tons of carbon dioxide),0.599
Mauritius,1995,Emissions per capita (metric tons of carbon dioxide),1.383
Mauritius,2005,Emissions per capita (metric tons of carbon dioxide),2.412
Mauritius,2010,Emissions per capita (metric tons of carbon dioxide),2.93
Mauritius,2015,Emissions per capita (metric tons of carbon dioxide),3.141
Mauritius,2016,Emissions per capita (metric tons of carbon dioxide),3.2
Mauritius,2017,Emissions per capita (metric tons of carbon dioxide),3.306
Mexico,1975,Emissions (thousand metric tons of carbon dioxide),134558.202
Mexico,1985,Emissions (thousand metric tons of carbon dioxide),241153.838
Mexico,1995,Emissions (thousand metric tons of carbon dioxide),291336.44
Mexico,2005,Emissions (thousand metric tons of carbon dioxide),412385.135
Mexico,2010,Emissions (thousand metric tons of carbon dioxide),440460.336
